"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"94","50","Vermont",295636,4870,16869,1767,40113,3015,46840,2512,43073,2780,39393,2615,18889,2165,35397,2510,7285,1033,9605,1274,19227,1696,13389,1404,5556,699,2012
"95","51","Virginia",3779438,17848,78437,5072,307096,9064,482954,9695,562156,13429,572515,11207,242558,8257,551558,12230,116971,6111,154192,6316,333472,8189,262710,8842,114819,4867,2012
"96","53","Washington",3005863,16253,88210,5016,287746,9430,413527,10230,478087,12017,438662,9930,193636,7520,419609,9956,88028,4496,125853,5590,229950,7848,164525,7003,78030,4722,2012
"97","54","West Virginia",712516,9524,32066,2845,86645,4879,107672,4656,114745,5201,98449,3733,43334,3884,74326,4166,18924,2640,25699,2563,49937,3193,37059,2862,23660,2218,2012
"98","55","Wisconsin",2690547,11084,125084,4753,370183,8287,463269,8862,451519,8637,395438,8333,177880,5671,281428,6696,73843,4017,77443,3108,142257,5619,86494,3889,45709,2815,2012
"99","56","Wyoming",270152,4661,24654,2727,64634,4182,59451,3483,43763,3318,24609,2532,6077,1108,16157,2064,2198,604,3371,832,10168,1616,7930,1572,7140,1462,2012
"100","72","Puerto Rico",1032768,12496,22025,2160,67893,4159,117445,6026,151351,6480,146895,5826,46486,3874,171820,7548,21947,2452,48456,3731,91780,5001,106817,5496,39853,3138,2012
"101","01","Alabama",1919867,16991,54243,4349,186222,6666,291957,9224,320868,8939,304158,8915,121175,6137,274319,8732,48200,3610,57930,3502,138730,6002,86963,5582,35102,2788,2012
"102","02","Alaska",336668,5636,28841,3327,56734,3277,65344,3967,63164,3940,47282,3411,11780,2083,25900,2748,3779,1106,4196,973,12071,1895,10307,1611,7270,1326,2012
"103","04","Arizona",2573491,15596,72444,4677,246288,9647,366196,11556,395841,12254,395983,10165,171832,7150,402407,11830,72430,4749,107562,5924,195001,8097,104312,5133,43195,3257,2012
"104","05","Arkansas",1190483,10678,56053,4116,178170,6808,200964,6395,208913,7806,166213,6617,64755,4345,138526,6476,25542,2509,26493,2508,66990,3559,38211,3099,19653,1951,2012
"105","01","Alabama",1933555,16895,53146,4040,189049,7112,276820,9473,338249,9817,300829,9011,122593,7231,292931,9182,52437,3887,55758,4107,141816,6112,74906,4444,35021,2962,2013
"106","02","Alaska",342405,5479,26539,2358,56348,3568,73269,4666,64630,4279,47412,3859,14560,1914,22915,3218,3761,1223,5057,1116,11732,1701,8534,1075,7648,1549,2013
"107","04","Arizona",2604104,16668,76149,4486,250598,8050,361047,9603,395842,12250,403131,10723,189030,7619,389640,9235,72311,3797,105989,5061,204629,7336,110447,4467,45291,3308,2013
"108","05","Arkansas",1188625,11146,54554,4150,160604,5688,207026,8323,214569,8447,169537,7258,62755,4193,140330,6605,27183,3608,29245,2996,67909,4368,36115,2852,18798,2363,2013
"109","06","California",15868010,41013,313543,10108,1290625,21723,2098100,26643,2435511,27477,2355128,29161,934487,15811,2365170,27938,411587,10659,645501,13613,1313017,19668,1168216,21315,537125,13954,2013
"110","08","Colorado",2399564,16901,75445,3765,247977,8575,341301,11274,386505,10087,373411,10591,157885,7348,322238,8898,69694,3993,91044,4469,179526,5621,107412,6028,47126,3583,2013
"111","09","Connecticut",1661027,10885,46952,3609,159851,6865,253778,7647,268673,8301,265181,8437,101594,5831,207527,8674,46738,3557,61462,4860,111664,5356,89594,5711,48013,3353,2013
"112","10","Delaware",407696,6230,9955,1515,34726,3328,60604,4692,67958,3734,67243,3812,27738,2569,56305,4368,10204,1531,12786,1710,28096,2966,21647,2610,10434,1786,2013
"113","11","District of Columbia",315613,5279,5115,1408,13177,1876,22103,2646,39732,3399,48862,3817,22816,2415,65502,4664,16957,2092,18782,2360,34239,2845,20322,2428,8006,1525,2013
"114","12","Florida",7929082,32998,165763,8470,604394,15090,1001531,21120,1229093,17415,1308415,24584,532653,13570,1314471,22284,246270,10155,321647,10355,658779,16731,394788,12281,151278,7079,2013
"115","13","Georgia",4082818,24372,96529,5023,343237,10207,521806,13413,638453,14489,635734,14746,237884,9274,577843,15480,125056,7324,149351,6555,388384,13264,264752,9517,103789,6272,2013
"116","15","Hawaii",642827,7266,15731,2415,61269,3875,81307,4831,91378,5185,89585,4753,34121,2886,114173,5004,13865,1716,21337,2269,62002,4108,41063,3381,16996,2623,2013
"117","16","Idaho",658527,9679,37419,3361,106754,5612,120059,6522,117725,5719,92956,6255,34822,2946,64724,3890,14604,3725,13938,2724,26467,2623,19022,2313,10037,1499,2013
"118","17","Illinois",5722315,23874,164432,6682,540359,12107,720198,14077,763114,14056,744507,14879,335501,8702,784918,12569,193770,7177,277759,9148,580688,13807,463652,9621,153417,7511,2013
"119","18","Indiana",2875963,17332,112530,6783,350873,8659,427577,10314,473367,11565,438337,9086,200203,6477,341965,8716,89506,4903,98656,5287,185529,6082,109068,5060,48352,3319,2013
"120","19","Iowa",1483107,8752,104387,4223,262980,7683,274899,6720,250262,7489,198461,6109,88687,4362,133172,5469,30538,2874,29416,2081,58742,3383,32418,2560,19145,1675,2013
"121","20","Kansas",1333607,11598,83811,3962,224641,6095,237057,7254,241816,8986,188083,6384,76830,4679,136485,5004,26971,2256,25543,2338,50737,3694,24905,2129,16728,1954,2013
"122","21","Kentucky",1806915,13743,69121,4675,222236,7730,284507,9420,315200,9128,282702,8419,119850,5724,217101,7347,49209,3653,44618,3303,106940,5579,61949,4691,33482,3173,2013
"123","22","Louisiana",1937064,14966,63462,5167,208232,8543,305450,9040,324428,9187,289001,9492,105992,6168,259963,10302,42996,3200,50631,3516,132976,5941,93442,6163,60491,4579,2013
"124","23","Maine",593227,6092,34351,2841,75267,4371,95096,4477,88652,4292,84525,4098,37457,2561,63713,3983,14452,1742,18522,2356,42079,3492,25042,2734,14071,1616,2013
"125","24","Maryland",2821646,15324,46264,3870,174487,7470,268848,9029,354748,11057,356374,10337,173324,7256,420240,10527,101922,4604,150923,6268,344522,8233,307560,8219,122434,6340,2013
"126","25","Massachusetts",3178822,20255,81102,4976,275822,8255,396053,10213,422074,10249,421345,10898,201671,7589,447078,12119,102413,5255,151699,5419,320506,7620,268886,8311,90173,4593,2013
"127","26","Michigan",4110449,21519,141192,5340,461930,10589,603553,11931,666771,12735,623735,11988,292622,7982,502490,9689,136400,5338,148824,5423,293183,7618,160696,5903,79053,3953,2013
"128","27","Minnesota",2638199,12562,111262,4060,333215,7810,395212,9815,411150,9306,386606,10300,189570,6322,326596,8724,79687,4515,91381,4067,175829,5464,96747,3790,40944,2712,2013
"129","28","Mississippi",1158296,12773,44346,4234,144739,8060,189767,8040,184436,6128,169726,7910,66818,4562,152522,6104,28093,3026,27297,2756,78917,5280,44248,4219,27387,3146,2013
"130","29","Missouri",2659601,15135,104359,4833,317319,7875,392794,8050,426674,11254,397040,10507,184817,6980,360611,9951,82514,5113,89252,4405,174090,6739,83544,4995,46587,3730,2013
"131","30","Montana",446809,6319,33862,2612,88244,4341,96408,5045,81484,4504,51144,3034,18209,2114,34687,3001,3994,885,6867,1322,14186,1520,10152,1415,7572,1300,2013
"132","31","Nebraska",912663,6701,59304,2976,158318,4948,173001,6273,161026,5854,139724,5041,50795,2927,87567,3889,13854,1358,15819,1460,29273,2643,16079,2066,7903,1213,2013
"133","32","Nevada",1202135,12073,30503,3548,102208,4986,159159,7554,215853,8386,230215,8061,98503,5232,191988,8005,26815,2578,34195,2969,51841,4040,34330,3374,26525,2151,2013
"134","33","New Hampshire",640898,8027,26205,2956,70882,3565,89410,4536,88561,4022,83058,5129,41512,3002,78739,4225,19233,1834,29585,2653,54826,3695,37627,3116,21260,2689,2013
"135","34","New Jersey",3999923,20416,88044,4928,317046,8634,477938,10979,520432,9619,517006,11744,244636,8752,532007,13774,120309,5270,193323,6198,398160,9439,404520,10588,186502,6662,2013
"136","35","New Mexico",827542,9814,38130,3738,110946,6320,148218,6797,148899,6887,118997,6532,44146,3143,96738,4920,15207,2266,20114,2150,42504,3349,28275,2449,15368,1895,2013
"137","36","New York",8664226,29246,216796,8517,660477,14765,932422,16450,1045589,16995,1082255,17043,461570,11034,1214435,19820,257058,8150,437768,11093,922174,16527,995656,16329,438026,10530,2013
"138","37","North Carolina",4151801,19449,120495,5969,411068,11096,644221,14111,734887,16392,663430,14127,284744,8875,536776,13257,120683,5790,130314,5974,270001,8396,152516,6014,82666,5173,2013
"139","38","North Dakota",370780,4422,32819,2288,73400,3925,87558,4031,65738,3582,41999,3458,10617,1576,23027,2367,3596,888,4258,765,9414,1112,9889,1584,8465,1629,2013
"140","39","Ohio",5058917,25040,175431,6198,550259,13344,749707,14007,837660,14403,834463,12425,384490,9995,640550,12074,157609,6099,173919,7090,304496,7836,171089,7135,79244,4055,2013
"141","40","Oklahoma",1646344,10732,68400,3685,235804,6065,279588,6579,286802,7163,263003,6227,96021,4657,198619,5698,31895,2151,35978,2594,74468,3486,46076,2705,29690,2423,2013
"142","41","Oregon",1635384,14888,66717,4325,208160,7532,262297,9229,282879,8234,239684,7937,100121,4964,187569,7354,39470,3306,51266,4189,98143,4957,70547,4815,28531,2973,2013
"143","42","Pennsylvania",5640000,21431,193693,7394,587617,12781,792698,12254,822039,14409,817815,15401,357753,9858,720275,14589,172563,5606,228653,6978,466098,9797,332981,8052,147815,5515,2013
"144","44","Rhode Island",489610,7837,13681,1839,49493,3604,71321,4408,88263,5617,79753,5066,33783,3480,59259,3155,14657,1873,16956,2040,30642,2438,21687,2420,10115,1717,2013
"145","45","South Carolina",1996609,16273,68667,4864,199853,7538,292974,9355,344027,10906,319428,9590,128598,6670,290800,10274,58977,4070,56147,4251,124279,5322,75912,4043,36947,2784,2013
"146","46","South Dakota",404732,4976,34148,2166,85431,4017,82201,4711,74997,4290,51282,2888,15166,1350,26447,2463,5032,1022,5724,1160,9636,942,9664,1128,5004,965,2013
"147","47","Tennessee",2736437,17959,72561,4551,260818,10244,384737,12518,458629,12101,446303,11100,186431,7315,395397,9898,77759,4846,83898,4096,208549,8165,114222,4970,47133,3752,2013
"148","48","Texas",11448252,34332,326743,9433,1128002,20690,1604173,21616,1841585,24048,1665775,21919,679842,14295,1691031,25570,297179,10975,404791,12374,928776,18204,638538,15025,241817,8997,2013
"149","49","Utah",1240207,11372,48826,3880,166945,7845,203109,7339,221572,7245,203551,8233,78489,4381,147817,5620,24327,2391,30898,2712,60902,3366,34929,3365,18842,2809,2013
"150","50","Vermont",293106,4089,15118,1581,40928,2900,45221,2605,50029,2934,38318,2644,16683,1580,32148,2376,9656,1472,10019,1357,20375,1765,9548,1107,5063,737,2013
"151","51","Virginia",3836121,20382,83761,4901,315914,9302,485741,12902,590528,11275,560455,10901,260898,9141,537457,13403,121762,5966,156818,5821,346000,7848,264027,9063,112760,5778,2013
"152","53","Washington",3034217,19382,95886,6046,287445,9845,406151,9979,480117,13007,459767,10716,192287,8255,401684,11379,90339,5462,123596,5247,245909,6871,171467,7875,79569,5077,2013
"153","54","West Virginia",716062,10041,31470,3158,79006,5002,105025,4344,111473,6036,108596,4845,41667,3673,75783,4712,19152,2341,23612,2439,51703,3636,43634,3544,24941,2210,2013
"154","55","Wisconsin",2707399,15567,124535,5426,366431,7773,451267,9093,451978,10265,403420,8102,179203,5378,284780,8331,74553,3769,84891,4550,153042,5349,86721,3959,46578,2982,2013
"155","56","Wyoming",280129,4443,27046,2812,67032,4092,67134,4111,43277,3018,22396,2458,6476,1303,16977,2065,3077,1021,4050,986,7569,1412,7925,1412,7170,1413,2013
"156","72","Puerto Rico",1003508,11736,18274,2268,68435,3932,111282,5429,148732,6473,142829,7500,45907,4256,166558,6380,23233,2803,49378,3716,83620,5310,101018,5517,44242,3302,2013
"157","01","Alabama",1950193,12853,50533,3591,176701,6839,282124,8090,341395,8599,316324,8913,133249,6492,295236,9727,52327,4090,52743,3585,138428,6507,75205,4898,35928,2380,2014
"158","02","Alaska",345296,5258,28148,2330,66323,4634,68435,4333,64284,3612,47827,3741,10999,1824,24294,2709,3497,973,3724,983,12256,1861,9469,1412,6040,1051,2014
"159","04","Arizona",2669939,19893,72871,4536,265609,7860,364556,10186,421447,10995,412582,12315,188647,7650,402287,11273,78078,3845,110731,5330,204724,7574,106147,5575,42260,3440,2014
"160","05","Arkansas",1208299,13420,52648,3590,170855,6954,210230,8425,207576,8385,178446,6908,68635,4561,134171,6170,25603,2833,32138,2721,63466,3431,42889,3997,21642,2258,2014
"161","06","California",16323951,43271,325805,10984,1335362,21281,2099382,26290,2467457,30069,2358076,24904,976551,16870,2450357,29602,422791,11493,694089,12646,1383016,18520,1257910,20335,553155,10703,2014
"162","08","Colorado",2506847,13812,74803,4221,249535,7850,355138,10282,384617,9158,376491,9636,166504,6234,354625,9876,83855,4483,94315,5290,189363,6928,127108,6165,50493,3983,2014
"163","09","Connecticut",1683826,11524,49075,4158,163964,7546,256567,8634,268647,7854,266434,7723,111641,5325,209537,7457,47060,3478,59668,3824,108887,5542,92639,4333,49707,3208,2014
"164","10","Delaware",415479,5959,9952,1532,36665,3074,67039,3937,71863,4441,68973,4490,26144,2550,54936,3403,11512,1916,10358,1549,27515,3084,20820,2141,9702,1584,2014
"165","11","District of Columbia",326050,5896,4044,1088,15252,2275,23879,2003,39454,3632,52376,3659,25631,2280,68477,4648,17474,2121,19044,2518,34827,2900,19273,2258,6319,1558,2014
"166","12","Florida",8170362,33838,157299,6287,607391,13749,1006762,19121,1274718,20497,1351443,20823,554285,15649,1347016,21123,261400,10600,331438,9420,688900,14889,424115,12017,165595,7362,2014
"167","13","Georgia",4201848,22836,90954,5720,334850,9285,559746,14151,654763,14983,606739,13659,258340,8770,584268,12331,130866,7038,161374,7037,407847,11263,298111,9019,113990,6267,2014
"168","15","Hawaii",654942,7845,19632,2136,53910,3255,83870,4180,87365,4718,90225,5476,32241,2682,112223,4925,17349,2402,25436,2282,63725,3996,48983,3805,19983,2291,2014
"169","16","Idaho",670046,10145,39701,3885,104976,5695,114659,5388,114863,6481,96812,5192,37738,3326,72752,4463,15304,2879,13922,2097,29728,2900,19853,2191,9738,1456,2014
"170","17","Illinois",5778728,24381,159716,6092,539766,11020,702496,13650,750056,14829,749176,12780,339585,9113,804820,12598,185855,6557,276896,8485,601172,12619,502823,11401,166367,6407,2014
"171","18","Indiana",2929423,16075,104120,5073,353788,10054,457812,11087,488586,9636,426738,12012,196512,7583,353657,8529,87171,4706,105941,5637,189213,6771,114159,5044,51726,3606,2014
"172","19","Iowa",1490887,10075,102822,4635,275239,8274,264959,6654,260433,8025,201732,5516,83793,3932,131263,4749,30889,2069,32844,2221,58273,3219,30216,2385,18424,1943,2014
"173","20","Kansas",1332635,10425,83468,3606,212875,7456,240992,7304,232378,6547,199210,7061,83683,4233,129941,5607,26779,2148,28928,2363,52780,3028,25794,2446,15807,1703,2014
"174","21","Kentucky",1818841,13406,71139,4986,212336,6991,277044,8645,315699,8848,278968,8428,120359,5352,226138,7837,49518,3647,56931,3601,111291,5455,67170,3976,32248,3118,2014
"175","22","Louisiana",1934748,14680,64762,4692,209414,7515,294596,9152,312482,8848,301905,9631,104622,5972,273418,11183,44498,3990,49074,4232,123650,6199,91980,5933,64347,4400,2014
"176","23","Maine",603954,7229,29457,2755,75486,4117,91785,4963,97769,4901,87171,4570,37765,3302,65379,4080,18453,2106,20618,1986,42600,3309,24751,2504,12720,1573,2014
"177","24","Maryland",2837275,13757,44361,3239,166902,6164,275982,7987,346359,8256,372927,10654,173771,7238,428700,9677,112899,5497,153938,6490,334304,9171,310564,7339,116568,5631,2014
"178","25","Massachusetts",3232609,20461,77700,4828,279575,8410,396962,9876,441691,10345,423606,11193,191414,6905,447659,9436,103459,3929,152548,6358,335453,8572,285564,7952,96978,4014,2014
"179","26","Michigan",4196854,21335,136111,5689,462272,10854,605797,10629,674138,10807,647433,10290,292253,7786,508006,10571,134535,4530,162568,5144,308240,8307,187307,5736,78194,3742,2014
"180","27","Minnesota",2667269,13500,105054,4811,319996,7839,395365,6819,419993,9353,392461,8807,192049,6538,332963,8250,82694,3809,99214,4217,180995,6021,104673,4410,41812,2619,2014
"181","28","Mississippi",1168561,11399,41778,3483,136958,6218,190991,7301,197451,7071,167064,7039,68382,4615,150902,7671,28726,3256,35860,3596,73657,4361,47115,3587,29677,3128,2014
"182","29","Missouri",2647602,15807,100361,5423,310254,8407,391000,11298,429938,10049,416097,9388,180834,6893,343411,9109,78436,4328,89188,4996,180379,6926,86869,4241,40835,2839,2014
"183","30","Montana",453422,5317,32539,2658,85845,3672,97246,4707,90911,4834,52837,3564,17227,1639,32906,2677,4750,996,7370,1064,14185,1666,9748,1369,7858,1375,2014
"184","31","Nebraska",928530,7417,61525,3438,162093,5640,174052,6451,167830,6043,135426,5148,52798,2898,83396,4026,14904,1362,17429,1643,31232,2131,17363,1866,10482,1301,2014
