state,fips,year,traffic_deaths,population,traffic_crude_rate,traffic_crude_rate_standard_error,traffic_age_adjusted_rate,traffic_age_adjusted_rate_standard_error,long_commute_prop,long_car_commute_prop,long_car_commute_alone_prop,deaths,crude_rate,crude_rate_standard_error,age_adjusted_rate,age_adjusted_rate_standard_error
New Hampshire,33,2012,126,1320718,9.5,0.8,8.8,0.8,36.13188301944188,34.89769454031144,32.12919856933863,10730,812.4,7.8,687.5,6.8
New Hampshire,33,2013,142,1323459,10.7,0.9,10.3,0.9,37.645615995056936,36.48334056277286,32.80319177154555,10897,823.4,7.9,679.1,6.6
New Hampshire,33,2014,110,1326813,8.3,0.8,7.8,0.8,38.769724458872105,37.31218218580134,34.08209595603011,11516,867.9,8.1,706.2,6.7
New Hampshire,33,2015,110,1330608,8.3,0.8,7.8,0.8,38.77060640046705,37.4235277850328,34.18150532348016,11984,900.6,8.2,720.6,6.8
New Hampshire,33,2016,141,1334795,10.6,0.9,9.9,0.9,37.12181573802911,35.686715037563296,32.17909427789126,12203,914.2,8.3,721.5,6.7
New Jersey,34,2012,663,8864590,7.5,0.3,7.3,0.3,45.37147694768285,34.912230230415446,31.037484174066886,70534,795.7,3,677.6,2.6
New Jersey,34,2013,594,8899339,6.7,0.3,6.5,0.3,45.87140802460447,34.99679868837475,31.191625438789693,71403,802.3,3,676.4,2.6
New Jersey,34,2014,600,8938175,6.7,0.3,6.4,0.3,46.09011355019299,35.14016390045035,31.58794714807852,71316,797.9,3,665.7,2.5
New Jersey,34,2015,622,8958013,6.9,0.3,6.7,0.3,46.12541358190948,34.71472549888337,31.168948711828754,72271,806.8,3,666,2.5
New Jersey,34,2016,667,8944469,7.5,0.3,7.2,0.3,46.83510375395556,35.17635767628457,31.32792543568879,73155,817.9,3,668.5,2.5
New Mexico,35,2012,411,2085538,19.7,1,19.9,1,25.375584013169046,23.810186642136095,19.324360308891524,16710,801.2,6.2,744.6,5.8
New Mexico,35,2013,349,2085287,16.7,0.9,16.8,0.9,26.367966822227757,24.695302474073824,20.961836378093196,16805,805.9,6.2,731.8,5.7
New Mexico,35,2014,417,2085572,20,1,20,1,26.41918585970659,24.924577640805452,21.133543605375294,17579,842.9,6.4,749.6,5.7
New Mexico,35,2015,361,2085109,17.3,0.9,17.4,0.9,26.58558899464006,25.209679505295274,22.004732458052125,17685,848.2,6.4,741.5,5.7
New Mexico,35,2016,429,2081015,20.6,1,20.7,1,27.11228560319129,25.463116308318572,22.03060719960445,18365,882.5,6.5,753.4,5.7
New York,36,2012,1466,19570261,7.5,0.2,7.1,0.2,48.5427162895242,23.1164335191712,19.99663591521199,148991,761.3,2,652.1,1.7
New York,36,2013,1401,19651127,7.1,0.2,6.8,0.2,49.226751472087635,22.99493341932678,19.884315113663934,150919,768,2,649.3,1.7
New York,36,2014,1245,19746227,6.3,0.2,6,0.2,50.18482493033374,23.46137318468926,20.47780074284193,149944,759.4,2,636.5,1.7
New York,36,2015,1285,19795791,6.5,0.2,6.1,0.2,50.731058629378865,23.626825766408537,20.628552038418675,153628,776.1,2,644,1.7
New York,36,2016,1225,19745289,6.2,0.2,5.8,0.2,51.44018722028976,24.08205103750344,20.959733421628947,154358,781.7,2,640.7,1.7
North Carolina,37,2012,1395,9752073,14.3,0.4,14.1,0.4,30.882672153850688,29.581684067849885,25.167169222005047,81925,840.1,2.9,786.4,2.8
North Carolina,37,2013,1407,9848060,14.3,0.4,14,0.4,31.14205136517863,29.698051520292033,25.859645007070426,83329,846.1,2.9,777.6,2.7
North Carolina,37,2014,1453,9943964,14.6,0.4,14.3,0.4,31.76284723538106,30.43482586121954,26.64081744798575,85367,858.5,2.9,775.9,2.7
North Carolina,37,2015,1576,10042802,15.7,0.4,15.3,0.4,32.450196125155216,31.160675556680822,27.347754008604564,89133,887.5,3,789.9,2.7
North Carolina,37,2016,1598,10146788,15.7,0.4,15.5,0.4,33.23462160555132,31.965735246599554,28.31065149740336,90465,891.6,3,782.4,2.6
North Dakota,38,2012,146,699628,20.9,1.7,20.7,1.8,15.05837912087912,14.495980453972257,11.595039182129346,6038,863,11.1,701.2,9.3
North Dakota,38,2013,128,723393,17.7,1.6,18.3,1.7,15.817735584443604,15.113274718161712,11.601488753438696,6233,861.6,10.9,709.7,9.2
North Dakota,38,2014,108,739482,14.6,1.4,14.4,1.4,15.03407698764319,14.30690205005202,11.838527504706128,6184,836.3,10.6,692.7,9.1
North Dakota,38,2015,139,756927,18.4,1.6,17.5,1.5,13.411576378923593,13.090643471773964,11.131372681071952,6223,822.1,10.4,696.8,9.1
North Dakota,38,2016,135,757952,17.8,1.5,17.6,1.6,15.35100926195124,14.854684969057608,12.281170826930266,6242,823.5,10.4,688.4,9
Ohio,39,2012,1282,11544225,11.1,0.3,10.8,0.3,29.673496880955174,27.98776000449189,25.033024769126342,112498,974.5,2.9,817.9,2.5
Ohio,39,2013,1176,11570808,10.2,0.3,9.8,0.3,30.182487674733544,28.448717383582295,25.694491528522807,113258,978.8,2.9,811.2,2.4
Ohio,39,2014,1194,11594163,10.3,0.3,10.1,0.3,30.380388312013967,28.574465666034847,25.88799973834262,114509,987.6,2.9,810,2.4
Ohio,39,2015,1289,11613423,11.1,0.3,10.8,0.3,30.69448747011927,28.869902905125734,26.24510834267031,118188,1017.7,3,828.4,2.5
Ohio,39,2016,1368,11614373,11.8,0.3,11.4,0.3,30.723683021630478,29.03560068147712,26.34466193559649,119572,1029.5,3,832.3,2.5
Oklahoma,40,2012,751,3814820,19.7,0.7,19.7,0.7,25.264555876303874,24.452519513897215,21.182915694430353,36870,966.5,5,891.5,4.7
Oklahoma,40,2013,762,3850568,19.8,0.7,19.5,0.7,25.312206926377478,24.552645133702313,21.60040671937335,38384,996.8,5.1,910.7,4.7
Oklahoma,40,2014,749,3878051,19.3,0.7,19.1,0.7,25.914288722754552,25.106514839272553,21.79376946103281,38464,991.8,5.1,897.5,4.6
Oklahoma,40,2015,698,3911338,17.8,0.7,17.7,0.7,26.25897690994844,25.599346460652082,22.492705607515703,39422,1007.9,5.1,904.3,4.6
Oklahoma,40,2016,738,3923561,18.8,0.7,18.6,0.7,26.301174077036272,25.505851054832952,22.538582167270338,39276,1001,5.1,888.4,4.5
Oregon,41,2012,400,3899353,10.3,0.5,9.7,0.5,29.070840625041118,23.99311775567657,20.19397352491336,32759,840.1,4.6,706.6,4
Oregon,41,2013,391,3930065,9.9,0.5,9.5,0.5,29.077329850359302,24.022614872103432,20.383041536422027,33939,863.6,4.7,717.5,4
Oregon,41,2014,422,3970239,10.6,0.5,10.1,0.5,29.86927826169905,24.630989613174282,20.398026665098815,34151,860.2,4.7,706.7,3.9
Oregon,41,2015,533,4028977,13.2,0.6,12.7,0.6,31.405529873690096,25.64951004571669,21.5824194445057,35705,886.2,4.7,722.3,3.9
Oregon,41,2016,560,4093465,13.7,0.6,13,0.6,31.89743531918972,26.52536209414166,22.873976016372463,35778,874,4.6,705.9,3.8
Pennsylvania,42,2012,1465,12763536,11.5,0.3,11.1,0.3,36.28214116549415,31.227249243618775,27.464531339119347,126981,994.9,2.8,759.2,2.2
Pennsylvania,42,2013,1413,12773801,11.1,0.3,10.6,0.3,36.67349290780142,31.523953900709216,27.946648936170217,129123,1010.8,2.8,761.3,2.2
Pennsylvania,42,2014,1329,12787209,10.4,0.3,9.9,0.3,37.30342341955814,32.03589639799875,28.425613144850754,128434,1004.4,2.8,750.2,2.1
Pennsylvania,42,2015,1359,12802503,10.6,0.3,10,0.3,38.247153693975754,32.96693661898648,29.356349811957884,132598,1035.7,2.8,768.3,2.2
Pennsylvania,42,2016,1342,12784227,10.5,0.3,10.1,0.3,38.3035337683959,33.11372736285938,29.668449547622018,133040,1040.7,2.9,770.1,2.2
Rhode Island,44,2012,82,1050292,7.8,0.9,7.7,0.9,32.066850210966116,29.155538349707488,25.638200826567108,9354,890.6,9.2,686.5,7.3
Rhode Island,44,2013,81,1051511,7.7,0.9,7.1,0.8,31.313902902310005,28.53352668450399,26.107718388104818,9792,931.2,9.4,709.6,7.4
Rhode Island,44,2014,68,1055173,6.4,0.8,6.2,0.8,31.69994361234931,28.996423294273566,26.023929766505738,9770,925.9,9.4,700.9,7.3
Rhode Island,44,2015,56,1056298,5.3,0.7,5.1,0.7,32.66557786141065,29.982044857423993,26.360786780145872,10163,962.1,9.5,721.9,7.4
Rhode Island,44,2016,60,1056426,5.7,0.7,5.4,0.7,32.72388746803069,30.303631713554985,27.667519181585675,9735,921.5,9.3,690.1,7.2
South Carolina,45,2012,906,4723723,19.2,0.6,18.9,0.6,31.301592133765745,30.344510162071263,26.727987011104346,43198,914.5,4.4,835.2,4.1
South Carolina,45,2013,835,4774839,17.5,0.6,17.3,0.6,32.207708169200885,31.19769569304756,27.71544153111601,44582,933.7,4.4,837.8,4
South Carolina,45,2014,846,4832482,17.5,0.6,17.1,0.6,32.72204014517704,31.659664183975668,28.033758599901137,45454,940.6,4.4,829.1,4
South Carolina,45,2015,1019,4896146,20.8,0.7,20.5,0.7,33.816623302148336,33.07553563091015,29.457375229334694,47198,964,4.4,840,3.9
