"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"2458","55073","Marathon County, Wisconsin",65951,2453,3573,1181,9558,1447,12783,1716,13927,1563,10315,1270,4336,674,4902,719,1087,321,1128,348,2298,714,954,277,1090,461,2013
"2459","55079","Milwaukee County, Wisconsin",420316,6574,9232,1451,38669,2961,61606,3615,84905,4183,82804,4094,30224,2630,56746,3340,9273,1376,9507,1360,17756,2081,11396,1695,8198,1409,2013
"2460","55087","Outagamie County, Wisconsin",91267,2530,3819,786,11373,1566,18599,1677,18116,1670,15634,1501,6282,1069,7966,1386,2000,623,1771,631,2415,607,1571,534,1721,642,2013
"2461","55089","Ozaukee County, Wisconsin",41851,1793,2011,595,5884,1038,4293,891,7106,1244,4648,877,2741,778,5539,905,2466,707,1930,581,3001,667,1442,565,790,427,2013
"2462","55097","Portage County, Wisconsin",33173,1435,1799,555,7241,1152,7958,1245,5385,940,2977,574,1769,439,2106,612,842,489,904,400,982,344,686,323,524,201,2013
"2463","55101","Racine County, Wisconsin",84687,2975,2425,738,9829,1778,13870,1785,13920,1879,13426,1926,4485,1111,8749,1387,3528,1070,2599,713,5947,1036,4306,1070,1603,746,2013
"2464","55105","Rock County, Wisconsin",69871,2718,1972,601,9468,1300,13547,1605,11280,1381,9564,1433,4222,984,5980,1041,2144,528,2185,595,5588,955,3092,827,829,371,2013
"2465","55109","St. Croix County, Wisconsin",41741,1710,1615,703,2783,728,4209,867,4780,940,4901,982,2782,739,5267,1029,1833,489,3024,809,6679,999,3578,807,290,151,2013
"2466","55117","Sheboygan County, Wisconsin",55429,1915,3218,618,9006,1268,13313,1634,11407,1629,7069,1013,2215,470,2686,669,845,333,832,413,2790,607,1608,427,440,205,2013
"2467","55127","Walworth County, Wisconsin",49574,1862,2676,952,8160,1144,6484,944,7810,1379,5363,764,3583,798,4880,940,1079,417,683,315,4797,1000,2575,668,1484,518,2013
"2468","55131","Washington County, Wisconsin",68032,2092,2170,666,7677,1113,9024,1674,7437,1207,9436,1109,5188,1048,8526,1459,3764,848,4620,1185,6893,1046,1847,579,1450,522,2013
"2469","55133","Waukesha County, Wisconsin",198403,3381,5982,1180,17073,1809,26958,2203,28546,2143,34444,2373,19648,2184,27578,2328,7639,1054,9681,1336,12489,1661,5130,1025,3235,866,2013
"2470","55139","Winnebago County, Wisconsin",82536,2258,3223,906,12834,1504,19496,2113,16886,1664,11769,1469,5242,1242,6463,1324,1168,503,1582,742,2197,757,851,396,825,442,2013
"2471","55141","Wood County, Wisconsin",34447,1368,1686,547,7104,1205,8417,1290,4570,781,3764,829,2096,509,2907,596,524,233,623,289,1233,393,875,381,648,290,2013
"2472","56021","Laramie County, Wyoming",47468,2021,4002,1225,8783,1291,13942,1993,9359,1422,5328,1407,1348,660,2115,898,340,295,148,155,638,422,883,510,582,447,2013
"2473","56025","Natrona County, Wyoming",39908,1967,1200,453,6173,1208,11205,1622,10942,1681,5183,1151,784,383,2243,776,115,130,32,55,333,240,288,208,1410,667,2013
"2474","72013","Arecibo Municipio, Puerto Rico",21830,2366,351,325,1266,588,2049,825,3258,838,3851,1082,1709,752,3747,1222,725,477,1480,534,1575,668,1075,619,744,389,2013
"2475","72021","Bayam?n Municipio, Puerto Rico",66397,3153,261,240,3434,767,3664,1124,5794,1290,8339,1454,3682,1142,13058,1540,2175,749,4892,1164,7709,1207,9670,1593,3719,913,2013
"2476","72025","Caguas Municipio, Puerto Rico",42674,2231,786,690,2642,837,3796,1133,5868,1194,5311,1131,1153,538,9182,1575,413,270,1295,566,5505,1499,4743,1296,1980,793,2013
"2477","72031","Carolina Municipio, Puerto Rico",61267,3103,1001,450,3033,960,3996,1008,7724,1608,10188,2025,2977,958,9849,1505,2825,841,4639,1411,5694,1243,7317,1635,2024,790,2013
"2478","72061","Guaynabo Municipio, Puerto Rico",35652,2024,1210,654,1575,585,4007,1142,5208,1295,8347,1427,1553,669,6375,1384,352,276,1277,634,2524,919,1922,763,1302,661,2013
"2479","72097","Mayag?ez Municipio, Puerto Rico",20908,2127,409,405,2016,890,5023,1274,4210,1215,3459,954,551,402,2269,900,476,321,178,160,970,456,788,544,559,460,2013
"2480","72113","Ponce Municipio, Puerto Rico",39537,2513,468,278,2862,975,6354,1267,8955,1705,7385,1473,2365,897,5179,1240,458,297,1208,567,1813,676,1487,669,1003,503,2013
"2481","72127","San Juan Municipio, Puerto Rico",128154,3441,3091,884,8376,1688,14199,2160,22798,2361,23195,2383,5446,1250,26977,2546,1454,590,4509,1198,6811,1169,7080,1599,4218,1030,2013
"2482","72135","Toa Alta Municipio, Puerto Rico",24012,2161,454,352,290,300,993,654,1211,577,1567,746,678,591,4783,1054,474,385,2114,960,2717,950,6517,1497,2214,872,2013
"2483","72137","Toa Baja Municipio, Puerto Rico",26192,2184,388,273,892,447,1300,544,1988,745,2122,709,1073,519,4979,1047,1080,500,2296,886,4496,970,3886,1033,1692,843,2013
"2484","72139","Trujillo Alto Municipio, Puerto Rico",25332,1934,397,401,936,516,2088,862,1774,801,2242,764,1539,668,4815,1083,1058,430,2424,843,3509,922,3591,891,959,482,2013
"2485","18095","Madison County, Indiana",52150,2019,963,384,6094,1010,11240,1382,6575,1052,5438,1015,1798,452,6912,1429,926,338,2349,723,5118,1054,3707,921,1030,338,2014
"2486","18097","Marion County, Indiana",421736,6883,8031,1808,35886,3420,53032,3385,78046,4074,81557,5610,35919,3460,65711,3757,14685,2363,11659,1774,19048,2478,12140,2131,6022,1558,2014
"2487","18105","Monroe County, Indiana",64856,3195,2017,699,9376,1738,16151,2044,15716,2156,8709,1832,2555,723,4073,1251,666,331,632,551,2263,788,1868,740,830,462,2014
"2488","18109","Morgan County, Indiana",31379,1820,1054,506,2965,807,2709,853,5177,1355,4035,1258,2006,783,3682,885,1513,779,2044,729,3729,772,2140,902,325,263,2014
"2489","18127","Porter County, Indiana",76102,2414,1284,525,8499,1684,11798,1927,9417,1380,8448,1443,5375,1196,11524,1712,3516,949,4720,1120,5135,1157,4419,895,1967,582,2014
"2490","18141","St. Joseph County, Indiana",121335,2929,3795,813,14055,1817,19961,2091,24964,2333,22634,2230,8333,1581,13322,1761,1800,505,2898,697,5673,1311,2336,562,1564,565,2014
"2491","18157","Tippecanoe County, Indiana",80640,3305,2059,676,12909,2265,20496,2343,16479,2090,12279,1728,4264,1160,5845,1776,1485,788,1086,435,1764,816,1316,607,658,377,2014
"2492","18163","Vanderburgh County, Indiana",83129,2639,2391,881,10085,1414,15140,1764,20568,2378,14516,2192,4026,842,7353,1445,1601,535,1601,575,2688,822,2071,736,1089,426,2014
"2493","18167","Vigo County, Indiana",45916,2204,2077,645,6491,1088,10564,1552,10702,1814,6428,1279,3131,924,2322,646,486,273,642,392,1169,418,576,299,1328,763,2014
"2494","18177","Wayne County, Indiana",28120,1608,1219,386,4935,959,6865,1106,4874,863,3057,749,1643,568,1685,440,606,412,400,258,1209,612,1283,482,344,228,2014
"2495","19013","Black Hawk County, Iowa",67206,2045,2891,876,13573,1586,17977,1887,14225,1685,9924,1532,2729,727,2801,884,317,322,338,206,1153,473,748,365,530,331,2014
"2496","19049","Dallas County, Iowa",41782,1512,2146,832,6021,1379,4725,1070,6476,1172,7450,1448,4844,977,4437,847,1721,774,1100,406,927,311,1076,501,859,503,2014
"2497","19061","Dubuque County, Iowa",49111,1703,2736,693,10927,1428,12437,1160,9623,1227,6385,932,1951,474,2017,469,605,258,423,249,419,224,1032,367,556,314,2014
"2498","19103","Johnson County, Iowa",70944,2891,1864,710,9150,1849,14348,1704,17053,2242,12200,1700,4404,1021,6580,1431,1115,627,952,560,1590,602,736,365,952,548,2014
"2499","19113","Linn County, Iowa",110639,3421,3482,900,15112,1929,23610,2528,24152,2621,19385,2208,5935,1262,8984,1551,1744,483,2515,869,3066,732,1603,533,1051,434,2014
"2500","19153","Polk County, Iowa",232372,3845,8069,1851,29379,3005,41117,3326,51746,3736,43952,3414,16920,2255,23978,2605,1831,522,3963,1014,5577,1234,3226,971,2614,809,2014
"2501","19155","Pottawattamie County, Iowa",43840,1429,1345,468,5662,828,7552,1092,8994,1299,5404,926,2902,737,7089,1034,784,321,1081,366,1574,484,988,432,465,292,2014
"2502","19163","Scott County, Iowa",81532,2445,2769,780,12400,1777,15044,1544,20423,2108,12247,1508,5510,1085,5682,1058,1610,928,805,494,2466,625,1427,476,1149,486,2014
"2503","19169","Story County, Iowa",46140,2661,3320,923,8485,1564,10542,1726,9177,1445,4847,1013,933,359,2076,693,812,400,1311,658,3642,1327,677,409,318,187,2014
"2504","19193","Woodbury County, Iowa",48581,1955,2655,795,6285,1261,11432,1798,12057,1643,6743,1088,2114,780,4117,1192,401,273,544,343,710,268,591,416,932,477,2014
"2505","20015","Butler County, Kansas",29601,1531,1639,611,4587,1046,3362,899,3557,931,5180,1232,2492,687,4562,1239,1203,543,868,412,1632,555,118,114,401,253,2014
"2506","20045","Douglas County, Kansas",55576,2948,1826,747,9180,1977,13150,2106,7729,1453,5691,1485,2445,638,6597,1539,1589,627,1890,630,3535,1102,1609,671,335,404,2014
"2507","20091","Johnson County, Kansas",282285,4150,6143,1338,30183,2665,46574,3010,54167,3357,54818,3895,26702,2724,32261,2715,7403,1211,7524,1288,9579,1656,3546,860,3385,784,2014
"2508","20103","Leavenworth County, Kansas",34128,2011,1857,730,4321,1027,6218,1054,4444,1285,4224,807,2312,875,3085,1036,2169,975,1862,585,2008,506,1122,536,506,399,2014
"2509","20161","Riley County, Kansas",39683,2085,1777,774,8628,1348,12296,1771,6203,1542,4571,1307,1491,731,2410,817,267,207,555,559,892,517,156,207,437,364,2014
"2510","20173","Sedgwick County, Kansas",229344,4345,5329,1020,26449,2270,39411,2930,53760,3422,50128,3832,16469,2014,23570,2521,2822,692,2724,812,4205,923,2631,923,1846,630,2014
"2511","20177","Shawnee County, Kansas",81675,2467,2468,934,13132,1672,16393,1859,22779,2155,13174,1823,3173,731,5741,1193,673,323,296,202,1900,616,1206,446,740,370,2014
"2512","20209","Wyandotte County, Kansas",66225,2509,862,352,5584,1096,9552,1273,13164,2018,12222,1614,7687,1133,10068,1394,1626,545,1466,501,2405,794,1272,437,317,249,2014
"2513","21015","Boone County, Kentucky",58512,2870,759,657,4937,1339,7917,1776,10604,1784,9422,1569,4959,1253,6863,1066,1844,786,2243,901,4441,1014,2882,1022,1641,592,2014
"2514","21029","Bullitt County, Kentucky",35387,1747,527,302,3034,796,3057,652,3879,887,4906,981,3208,783,6879,1042,1497,505,2278,729,3418,894,2042,758,662,335,2014
"2515","21037","Campbell County, Kentucky",44531,1929,989,532,4725,1021,7557,1421,6304,942,8522,1312,4026,972,6813,1087,1059,465,1717,549,1641,636,777,308,401,292,2014
"2516","21047","Christian County, Kentucky",28211,1908,2931,887,5614,1259,6410,1194,5464,1033,2931,872,941,504,1558,594,412,286,357,252,866,426,475,364,252,266,2014
"2517","21059","Daviess County, Kentucky",41526,1883,2432,1069,7195,1440,9659,1468,7797,1260,5411,1042,1666,486,2640,1003,588,359,850,434,1686,607,1178,671,424,296,2014
"2518","21067","Fayette County, Kentucky",150083,3500,3452,809,16013,2118,26109,2704,34578,2582,29239,2278,8847,1274,15715,1980,2110,587,3594,1007,5756,1362,2816,753,1854,748,2014
"2519","21093","Hardin County, Kentucky",50422,2041,2270,817,7262,1211,7751,1488,8436,1478,6938,1193,3104,1148,4534,1134,941,589,1136,494,4223,1317,2252,760,1575,592,2014
"2520","21111","Jefferson County, Kentucky",349511,6255,7442,1291,27374,2386,47674,3289,69863,4511,74435,4321,30239,2712,50045,3712,8697,1513,8413,1519,12379,1500,8625,2076,4325,997,2014
"2521","21117","Kenton County, Kentucky",75669,2651,1658,712,7163,1327,11419,1754,16627,1904,13320,1668,5600,1169,9392,1580,1356,501,2995,899,3572,853,1534,620,1033,528,2014
"2522","21145","McCracken County, Kentucky",27463,1704,1366,517,3441,785,6255,1092,6076,1272,4092,831,998,460,2301,807,110,158,898,468,1312,489,451,266,163,147,2014
"2523","21151","Madison County, Kentucky",38762,2106,1742,636,5494,1159,7835,1371,5198,1210,5081,1254,2137,788,3598,976,641,380,1441,606,3246,830,1284,497,1065,434,2014
"2524","21195","Pike County, Kentucky",19692,1594,1234,452,2733,842,2402,758,3213,929,2252,580,1117,456,3212,899,1086,595,441,217,1154,384,711,373,137,142,2014
"2525","21227","Warren County, Kentucky",52567,2489,2198,818,4177,1101,10143,1539,14793,1925,7667,1637,3217,954,4511,961,808,450,998,502,2016,842,914,458,1125,654,2014
"2526","22005","Ascension Parish, Louisiana",53169,2540,1004,643,3585,1074,4673,1302,7034,1448,7299,1520,4564,1506,9672,1966,1657,780,1468,742,6058,1482,4369,1334,1786,964,2014
"2527","22015","Bossier Parish, Louisiana",55653,2777,1211,596,3884,1152,10883,1855,9436,1620,9953,1867,5411,1476,9732,1644,726,325,1011,485,1714,819,1083,571,609,434,2014
"2528","22017","Caddo Parish, Louisiana",101512,3961,2278,647,7837,1801,15643,2467,22955,2671,25097,2634,6059,1648,9776,1818,812,452,1786,1011,3991,1308,3460,1091,1818,816,2014
